call,feed,cat,cat2,key,feedurl,,origurl
wire.reuters,Wealth,Money,NULL,"Reuters, Wealth, Money",get_reuters_wealth.php,,http://feeds.reuters.com/news/wealth
wire.reuters,Company News,Business,NULL,"Reuters, Business, companyNews",get_reuters_company.php,,http://feeds.reuters.com/reuters/companyNews
wire.reuters,Entertainment,Entertainment,NULL,"Reuters, Entertainment",get_reuters_entertainment.php,,http://feeds.reuters.com/reuters/entertainment
wire.reuters,Environment,Environment,NULL,"Reuters, Environment",get_reuters_environment.php,,http://feeds.reuters.com/reuters/environment
wire.reuters,Health News,Health,Lifestyle,"Reuters, Health, Lifestyle, healthNews",get_reuters_health.php,,http://feeds.reuters.com/reuters/healthNews
wire.reuters,Lifestyle,Lifestyle,NULL,"Reuters, Lifestyle",get_reuters_lifestyle.php,,http://feeds.reuters.com/reuters/lifestyle
wire.reuters,Oddly Enough,Weird News,NULL,"Reuters, Weird News, oddlyEnoughNews",get_reuters_oddlyEnough.php,,http://feeds.reuters.com/reuters/oddlyEnoughNews
wire.reuters,People News,Lifestyle,NULL,"Reuters, Lifestyle, peopleNews",get_reuters_people.php,,http://feeds.reuters.com/reuters/peopleNews
wire.reuters,Politics,Politics,NULL,"Reuters, Politics, PoliticsNews",get_reuters_politics.php,,http://feeds.reuters.com/Reuters/PoliticsNews
wire.reuters,Science,Science,NULL,"Reuters, Science, scienceNews",get_reuters_science.php,,http://feeds.reuters.com/reuters/scienceNews
wire.reuters,Sports,Sports,NULL,"Reuters, sportsNews, Sports",get_reuters_sports.php,,http://feeds.reuters.com/reuters/sportsNews
wire.reuters,Technology,Tech,NULL,"Reuters, Tech, Technology, technologyNews",get_reuters_technology.php,,http://feeds.reuters.com/reuters/technologyNews
wire.reuters,Top News,Top News,NULL,"Reuters, Top News, topNews",get_reuters_top.php,,http://feeds.reuters.com/reuters/topNews
wire.reuters,World News,General News,NULL,"Reuters, General News, worldNews, world",get_reuters_world.php,,http://feeds.reuters.com/Reuters/worldNews
wire.gothamist,News,General News,Local News,"Gothamist,  Genreal News, Local News",get_gothamist.php,,http://gothamist.com/index.xml
wire.nypost,News,General News,Local News,"NYPost, General News, Local News",get_nypost.php,,http://nypost.com/feed/
wire.villagevoice,News,General News,Local News,"Village Voice, General News, Local News",get_villagevoice.php,,http://villagevoice.com/syndication/issue/
wire.fastco,News,General News,NULL,"Fast Company, General News, Innovation, Business",get_fastco.php,,http://www.fastcompany.com/rss.xml
wire.huffpo,Books,ArtsCulture,NULL,"HuffPo, Arts & Culture, Books",get_huffpo_books.php,,http://www.huffingtonpost.com/feeds/verticals/books/index.xml
wire.huffpo,Black Voices,Lifestyle,NULL,"HuffPo, Lifestyle, African American, Black, Black-Voices",get_huffpo_blackvoices.php,,http://www.huffingtonpost.com/feeds/verticals/black-voices/index.xml
wire.reuters,Business News,Business,NULL,"Reuters, Business, businessNews",get_reuters_business.php,,http://feeds.reuters.com/reuters/businessNews
wire.huffpo,Business,Business,NULL,"HuffPo, Business",get_huffpo_business.php,,http://www.huffingtonpost.com/feeds/verticals/business/index.xml
