Sector,INDIA,CHINA,CANADA,SOUTH KOREA,PHILIPPINES,MEXICO,UNITED KINGDOM,PAKISTAN,TAIWAN,RUSSIA,FRANCE,JAPAN,NEPAL,GERMANY,BRAZIL,TURKEY,ISRAEL,VENEZUELA,COLOMBIA,ITALY,UKRAINE,AUSTRALIA,SPAIN,IRAN,ROMANIA,MALAYSIA,ARGENTINA,INDONESIA,POLAND,EGYPT,NIGERIA,IRELAND,PERU,BANGLADESH,BULGARIA,JAMAICA,SINGAPORE,THAILAND,JORDAN,VIETNAM,NETHERLANDS,SRI LANKA,BELARUS,GREECE,LEBANON,SOUTH AFRICA,UNITED STATES OF AMERICA,CHILE,ECUADOR,KENYA,SYRIA,HONG KONG,PORTUGAL,SWEDEN,GHANA,HUNGARY,NEW ZEALAND,DENMARK,DOMINICAN REPUBLIC,SWITZERLAND,TRINIDAD AND TOBAGO,AUSTRIA,BELGIUM,EL SALVADOR,SLOVAKIA,CAMEROON,GUATEMALA,HONDURAS,BOLIVIA,MONGOLIA,ARMENIA,ETHIOPIA,FINLAND,ALBANIA,COSTA RICA,CZECH REPUBLIC,MOLDOVA,PANAMA,MOROCCO,SERBIA,SERBIA AND MONTENEGRO,UGANDA,UZBEKISTAN,ZIMBABWE,BAHAMAS,BURMA (MYANMAR),KAZAKHSTAN,GRENADA,LITHUANIA,MACEDONIA,AZERBAIJAN,BOSNIA AND HERZEGOVINA,IRAQ,NORWAY,TUNISIA,URUGUAY,BELIZE,CYPRUS,DOMINICA,ICELAND,PARAGUAY,TANZANIA,BARBADOS,BENIN,KOSOVO,PALESTINE,SENEGAL,TURKMENISTAN,ZAMBIA,ALGERIA,BURKINA FASO,CAMBODIA,ERITREA,IVORY COAST,KYRGYZSTAN,LIBERIA,CROATIA,ESTONIA,GEORGIA,GUYANA,HAITI,LATVIA,MADAGASCAR,MALTA,MAURITIUS,NIGER,SAUDI ARABIA,ST LUCIA,ST VINCENT,SUDAN,YEMEN,ANTIGUA AND BARBUDA,BAHRAIN,BERMUDA,BOTSWANA,DEMOCRATIC REPUBLIC OF CONGO,GAMBIA,GUINEA,KUWAIT,LAOS,MACAU,MALDIVES,MALI,MAURITANIA,OMAN,PALESTINIAN TERRITORIES,QATAR,RWANDA,SIERRA LEONE,ST KITTS AND NEVIS,TAJIKISTAN,TURKS AND CAICOS ISLANDS,VANUATU
IT,8186,541,431,91,59,88,74,113,51,128,61,28,102,32,41,44,45,12,9,29,64,52,19,25,34,17,6,14,28,28,12,16,11,23,17,5,18,15,6,16,13,21,40,12,5,10,16,2,5,5,0,8,10,8,6,7,9,8,2,4,0,7,4,2,6,2,1,0,2,2,8,5,3,2,2,4,4,0,4,2,3,2,3,3,1,1,5,0,5,2,0,0,1,0,1,2,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,2,0,0,2,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0
Advanced Mfg,1829,339,204,144,40,116,65,29,102,22,31,28,11,33,34,23,26,21,16,18,9,17,7,12,9,22,7,16,10,10,12,11,11,9,4,2,18,6,4,1,7,5,3,1,5,2,4,2,4,5,3,6,1,2,1,5,4,5,2,5,2,1,1,1,4,2,0,1,2,1,2,1,4,1,3,2,0,1,4,1,1,0,0,0,1,3,0,0,0,0,0,1,0,0,3,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Other Economic Sector,1322,180,125,319,86,72,59,27,59,24,25,55,31,18,19,30,22,51,28,20,8,18,13,13,11,13,31,12,11,3,4,11,12,8,12,12,6,4,1,8,2,6,2,3,6,6,4,7,7,4,1,2,7,4,4,2,1,2,2,5,6,3,2,7,2,3,9,4,3,4,2,4,0,2,2,0,1,0,0,1,1,3,4,1,1,2,3,3,0,1,1,1,0,3,0,0,1,0,0,1,0,0,2,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Educational Services,264,200,172,157,149,132,45,16,43,15,32,33,14,47,21,39,16,18,42,34,12,7,42,21,13,7,9,6,8,13,6,4,13,10,6,25,2,4,9,6,15,8,1,17,9,10,2,9,3,12,6,7,5,3,2,1,5,2,0,4,6,5,7,3,1,3,1,4,3,4,0,3,1,4,2,3,1,3,0,1,5,2,2,0,0,1,0,1,3,3,0,1,2,1,1,1,1,2,1,3,0,2,0,0,1,1,1,2,0,0,1,0,1,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finance,1031,216,90,55,25,21,46,12,17,5,31,28,12,16,14,8,10,11,11,9,6,5,12,2,5,9,13,6,7,0,7,13,2,6,13,4,8,2,4,7,5,3,0,5,0,1,3,4,3,2,0,5,1,5,0,4,2,2,0,0,0,1,4,0,3,1,1,1,1,2,2,0,0,0,1,0,2,2,2,1,0,0,1,5,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Health Care,377,13,84,59,205,12,11,73,10,7,4,6,29,6,7,1,10,6,16,1,2,2,3,4,9,6,7,1,2,14,15,4,15,1,3,8,1,7,20,1,2,2,0,5,17,2,1,1,4,5,22,0,0,0,6,0,0,0,11,0,1,0,1,1,0,5,2,1,2,0,1,2,0,2,0,0,1,1,0,0,0,2,0,1,3,1,0,4,0,0,0,0,0,0,0,1,0,1,3,0,2,2,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Aerospace,338,55,67,22,57,34,23,20,10,13,13,5,9,10,3,8,1,14,17,5,6,1,4,17,4,10,2,10,1,5,7,6,1,7,1,1,3,4,1,4,4,1,0,1,1,1,1,9,1,2,1,1,0,0,0,0,1,1,1,0,3,0,0,0,1,1,0,1,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blank,342,119,53,24,12,16,18,11,9,20,18,17,3,6,16,6,17,5,4,8,8,8,5,2,8,3,2,8,6,2,7,1,2,4,2,0,2,1,4,5,1,2,3,2,0,3,4,1,0,0,0,2,1,2,2,2,0,0,2,2,0,1,1,0,1,0,1,0,0,1,0,1,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retail,471,59,50,60,15,7,16,17,10,10,5,3,4,3,5,13,10,2,1,2,5,9,1,2,3,0,0,3,2,1,3,1,1,2,1,2,1,2,2,3,0,1,0,0,1,2,2,3,1,1,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hospitality,41,16,6,32,4,31,3,3,4,2,6,13,4,1,4,1,0,3,0,2,1,0,2,2,2,1,3,1,2,1,0,1,0,1,3,1,0,6,0,1,0,1,0,0,0,2,3,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
