Sector,INDIA,CHINA,CANADA,SOUTH KOREA,MEXICO,OTHER COUNTRIES
IT,15626,549,497,216,105,2816
Advanced Mfg,3671,752,715,604,483,2910
Other,2236,486,489,1515,573,4694
Education Services,852,783,537,590,307,3914
Finance,1915,512,281,188,77,1653
Health Care,1036,80,323,258,50,325
Aerospace,894,189,196,78,57,917
Retail,933,66,137,300,99,946
Hospitality,315,200,42,409,596,805
Construction,147,53,41,115,471,1273
Automotive,108,19,49,111,65,327
Energy,238,69,69,9,19,300
Transportation,165,42,33,71,34,354
Biotechnology,58,34,33,12,0,93
Agribusiness,7,21,16,41,259,113
Geospatial,28,24,9,4,5,29
Homeland Security,8,2,6,5,3,28
